

Data analysis for each instance 
AVG,MED,MAX,MIN
0.309,0.309,0.309,0.309,
0.326,0.326,0.326,0.326,
0.33,0.336,0.336,0.306,
0.282,0.282,0.282,0.282,
0.312,0.312,0.336,0.312,
0.314,0.314,0.314,0.314,
0.327,0.327,0.327,0.327,
0.297,0.297,0.297,0.297,
0.294,0.292,0.313,0.292,
0.254,0.254,0.254,0.254,
0.277,0.277,0.277,0.277,
0.325,0.325,0.326,0.324,
0.291,0.291,0.291,0.291,
0.3,0.3,0.302,0.3,
0.322,0.322,0.322,0.322,
0.31,0.31,0.31,0.31,
0.272,0.272,0.272,0.272,
0.302,0.302,0.302,0.302,
0.367,0.369,0.371,0.281,
0.251,0.251,0.251,0.251,
0.274,0.274,0.274,0.274,
0.267,0.267,0.267,0.267,
0.289,0.289,0.289,0.289,
0.314,0.314,0.314,0.314,
0.307,0.307,0.307,0.307,
0.305,0.305,0.305,0.305,
0.292,0.292,0.292,0.292,
0.311,0.31,0.327,0.31,
0.312,0.312,0.312,0.312,
0.338,0.312,0.374,0.25,
0.275,0.275,0.275,0.275,
0.314,0.314,0.314,0.314,
0.302,0.302,0.302,0.302,
0.318,0.318,0.318,0.318,
0.273,0.273,0.273,0.273,
0.332,0.334,0.337,0.317,
0.328,0.328,0.328,0.327,
0.319,0.319,0.319,0.319,
0.305,0.305,0.305,0.305,
0.315,0.315,0.315,0.315,
0.286,0.286,0.286,0.286,
0.315,0.315,0.315,0.315,
0.313,0.313,0.313,0.313,
0.355,0.364,0.365,0.308,
0.301,0.288,0.314,0.288,
0.299,0.299,0.299,0.299,
0.293,0.293,0.293,0.293,
0.297,0.297,0.297,0.297,
0.317,0.317,0.317,0.317,
0.284,0.284,0.294,0.284,
0.297,0.297,0.297,0.297,
0.317,0.317,0.317,0.317,
0.296,0.296,0.296,0.296,
0.264,0.264,0.264,0.264,
0.321,0.321,0.331,0.321,
0.302,0.302,0.302,0.302,
0.295,0.295,0.297,0.295,
0.308,0.308,0.308,0.308,
0.292,0.292,0.292,0.292,
0.292,0.292,0.292,0.292,
0.318,0.318,0.318,0.318,
0.326,0.329,0.33,0.321,
0.299,0.299,0.299,0.299,
0.313,0.313,0.313,0.313,
0.303,0.303,0.303,0.303,
0.339,0.34,0.34,0.334,
0.223,0.223,0.223,0.223,
0.299,0.299,0.299,0.299,
0.209,0.209,0.209,0.209,
0.287,0.287,0.287,0.287,
0.33,0.33,0.33,0.33,
0.285,0.285,0.285,0.285,
0.314,0.314,0.314,0.314,
0.309,0.309,0.309,0.309,
0.29,0.29,0.29,0.29,
0.314,0.314,0.339,0.301,
0.288,0.288,0.288,0.288,
0.301,0.301,0.301,0.301,
0.347,0.344,0.36,0.327,
0.321,0.329,0.341,0.308,
0.314,0.314,0.314,0.314,
0.262,0.262,0.262,0.262,
0.264,0.264,0.264,0.264,
0.299,0.299,0.299,0.299,
0.318,0.318,0.318,0.318,
0.275,0.275,0.275,0.275,
0.26,0.26,0.26,0.26,
0.338,0.338,0.338,0.338,
0.265,0.265,0.265,0.265,
0.289,0.289,0.289,0.289,
0.267,0.267,0.267,0.267,
0.348,0.341,0.362,0.321,
0.347,0.343,0.352,0.334,
0.322,0.329,0.329,0.315,
0.209,0.209,0.209,0.209,
0.233,0.233,0.233,0.233,
0.32,0.32,0.32,0.32,
0.307,0.307,0.307,0.307,
0.3,0.3,0.3,0.3,
0.293,0.293,0.293,0.293,
0.326,0.326,0.326,0.326,
0.303,0.303,0.303,0.303,
0.292,0.292,0.292,0.292,
0.304,0.304,0.304,0.304,
0.264,0.264,0.264,0.264,
0.258,0.258,0.258,0.258,
0.283,0.283,0.283,0.283,
0.298,0.298,0.298,0.298,
0.317,0.318,0.318,0.292,
0.308,0.308,0.308,0.308,
0.137,0.137,0.137,0.137,
0.305,0.305,0.305,0.305,
0.319,0.319,0.319,0.319,
0.27,0.27,0.27,0.27,
0.319,0.319,0.319,0.319,
0.303,0.303,0.303,0.303,
0.311,0.311,0.311,0.311,
0.319,0.319,0.319,0.317,
0.332,0.336,0.336,0.327,
0.311,0.311,0.311,0.311,
0.282,0.282,0.282,0.282,
0.265,0.265,0.265,0.265,
0.316,0.316,0.316,0.316,
0.264,0.264,0.264,0.264,
0.297,0.297,0.297,0.297,
0.26,0.26,0.26,0.26,
0.309,0.308,0.327,0.308,
0.327,0.327,0.327,0.327,
0.294,0.294,0.294,0.294,
0.341,0.347,0.35,0.316,
0.317,0.317,0.328,0.317,
0.301,0.301,0.301,0.301,
0.293,0.293,0.293,0.293,
0.292,0.292,0.292,0.292,
0.339,0.339,0.343,0.338,
0.355,0.356,0.363,0.331,
0.297,0.297,0.297,0.297,
0.317,0.318,0.32,0.305,
0.294,0.294,0.294,0.294,
0.326,0.326,0.326,0.326,
0.36,0.361,0.37,0.34,
0.303,0.303,0.303,0.303,
0.32,0.32,0.32,0.32,
0.276,0.276,0.276,0.276,
0.335,0.335,0.335,0.335,
0.307,0.307,0.307,0.307,
0.276,0.276,0.276,0.276,
0.359,0.36,0.367,0.328,
0.3,0.3,0.3,0.3,
0.272,0.272,0.272,0.272,
0.28,0.28,0.28,0.28,
0.293,0.293,0.293,0.293,
0.254,0.254,0.254,0.254,
0.314,0.314,0.314,0.314,
0.312,0.312,0.312,0.312,
0.36,0.36,0.371,0.316,
0.326,0.326,0.326,0.326,
0.3,0.3,0.3,0.3,
0.348,0.347,0.354,0.331,
0.21,0.21,0.21,0.21,
0.293,0.293,0.293,0.293,
0.25,0.25,0.25,0.25,
0.323,0.323,0.323,0.323,
0.364,0.364,0.366,0.328,
0.26,0.26,0.26,0.26,
0.24,0.24,0.24,0.24,
0.356,0.358,0.365,0.331,
0.335,0.338,0.348,0.331,
0.256,0.256,0.256,0.256,
0.299,0.299,0.299,0.299,
0.281,0.281,0.281,0.281,
0.315,0.315,0.315,0.315,
0.354,0.355,0.361,0.336,
0.27,0.27,0.27,0.27,
0.322,0.322,0.322,0.322,
0.315,0.315,0.315,0.315,
0.279,0.279,0.279,0.279,
0.307,0.307,0.307,0.307,
0.326,0.326,0.329,0.324,
0.303,0.303,0.303,0.303,
0.271,0.271,0.271,0.271,
0.336,0.336,0.336,0.336,
0.311,0.311,0.311,0.311,
0.282,0.282,0.282,0.282,
0.32,0.312,0.329,0.309,
0.327,0.327,0.327,0.327,
0.332,0.332,0.332,0.332,
0.294,0.294,0.294,0.294,
0.234,0.234,0.234,0.234,
0.319,0.319,0.319,0.319,
0.252,0.252,0.252,0.252,
0.29,0.29,0.29,0.29,
0.324,0.324,0.324,0.323,
0.303,0.303,0.303,0.303,
0.348,0.346,0.359,0.338,
0.281,0.281,0.281,0.281,
0.336,0.336,0.336,0.334,
0.316,0.316,0.316,0.316,
0.318,0.318,0.318,0.318,
0.27,0.27,0.27,0.27,
0.339,0.339,0.339,0.339,
0.281,0.281,0.281,0.281,
0.245,0.245,0.245,0.225,
0.318,0.318,0.321,0.318,
0.333,0.333,0.333,0.333,
0.347,0.348,0.353,0.294,
0.276,0.276,0.276,0.276,
0.321,0.321,0.321,0.321,
0.335,0.335,0.335,0.335,
0.299,0.299,0.299,0.299,
0.301,0.301,0.301,0.301,
0.289,0.289,0.289,0.289,
0.362,0.363,0.365,0.331,
0.333,0.333,0.342,0.333,
0.314,0.314,0.314,0.314,
0.332,0.324,0.342,0.323,
0.279,0.279,0.279,0.279,
0.309,0.309,0.31,0.307,
0.263,0.263,0.263,0.263,
0.239,0.239,0.239,0.239,
0.316,0.316,0.316,0.316,
0.304,0.304,0.304,0.304,
0.277,0.277,0.277,0.277,
0.288,0.288,0.288,0.288,
0.303,0.303,0.303,0.303,
0.281,0.281,0.281,0.281,
0.312,0.312,0.312,0.312,
0.355,0.358,0.368,0.291,
0.294,0.294,0.294,0.294,
0.301,0.301,0.301,0.301,
0.306,0.306,0.306,0.306,
0.311,0.311,0.326,0.311,
0.31,0.31,0.31,0.31,
0.277,0.277,0.277,0.277,
0.298,0.298,0.298,0.298,
0.304,0.304,0.304,0.304,
0.299,0.299,0.299,0.299,
0.309,0.309,0.309,0.309,
0.315,0.315,0.315,0.315,
0.243,0.243,0.243,0.243,
0.305,0.305,0.305,0.305,
0.283,0.283,0.283,0.283,
0.347,0.333,0.368,0.313,
0.296,0.296,0.296,0.296,
0.34,0.341,0.341,0.339,
0.3,0.3,0.3,0.3,
0.252,0.252,0.252,0.252,
0.346,0.344,0.351,0.325,
0.299,0.299,0.299,0.299,
0.354,0.352,0.36,0.326,
0.308,0.308,0.308,0.308,
0.348,0.35,0.354,0.309,
0.276,0.276,0.276,0.276,
0.287,0.287,0.287,0.287,
0.289,0.289,0.289,0.289,
0.27,0.27,0.27,0.27,
0.294,0.294,0.294,0.294,
0.347,0.332,0.363,0.324,
0.256,0.256,0.256,0.256,
0.274,0.274,0.274,0.274,
0.317,0.317,0.317,0.317,
0.319,0.319,0.319,0.319,
0.302,0.302,0.302,0.302,
0.288,0.288,0.288,0.288,
0.293,0.293,0.293,0.293,
0.34,0.341,0.356,0.326,
0.316,0.316,0.326,0.316,
0.297,0.297,0.297,0.297,
0.348,0.338,0.36,0.319,
0.352,0.355,0.362,0.297,
0.356,0.356,0.362,0.327,
0.324,0.326,0.331,0.319,
0.353,0.354,0.356,0.298,
0.356,0.353,0.362,0.32,
0.366,0.368,0.386,0.306,
0.36,0.354,0.37,0.306,
0.357,0.356,0.359,0.347,
0.368,0.369,0.384,0.327,
0.38,0.376,0.388,0.293,
0.354,0.35,0.36,0.319,
0.362,0.366,0.37,0.295,
0.358,0.361,0.362,0.315,
0.36,0.361,0.361,0.321,
0.373,0.376,0.38,0.318,
0.36,0.349,0.384,0.275,
0.351,0.348,0.364,0.278,
0.225,0.225,0.225,0.225,
0.364,0.362,0.369,0.292,
0.299,0.299,0.299,0.299,
0.286,0.286,0.286,0.286,
0.35,0.351,0.354,0.297,
0.337,0.334,0.346,0.324,
0.375,0.375,0.377,0.314,
0.348,0.338,0.361,0.308,
0.362,0.369,0.379,0.291,
0.355,0.353,0.361,0.317,
0.338,0.329,0.365,0.326,
0.361,0.371,0.372,0.274,
0.36,0.353,0.372,0.321,
0.366,0.369,0.372,0.308,
0.357,0.355,0.364,0.298,
0.359,0.362,0.368,0.305,
0.352,0.347,0.359,0.331,
0.345,0.351,0.356,0.334,
0.367,0.369,0.371,0.29,
0.335,0.337,0.384,0.279,
0.346,0.349,0.354,0.334,
0.355,0.35,0.363,0.322,
0.358,0.36,0.371,0.324,
0.28,0.28,0.28,0.28,
0.338,0.336,0.373,0.327,
