

Data analysis for each instance 
AVG,MED,MAX,MIN
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.973,0.973,0.973,0.973,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.989,0.989,0.989,0.989,
0.993,0.993,0.993,0.993,
0.98,0.98,0.98,0.98,
0.97,0.97,0.97,0.97,
0.983,0.983,0.983,0.983,
0.965,0.965,0.965,0.965,
1,1,1,1,
0.955,0.955,0.955,0.955,
0.963,0.963,0.963,0.963,
0.981,0.981,0.981,0.981,
1,1,1,1,
1,1,1,1,
0.965,0.965,0.965,0.965,
0.983,0.983,0.983,0.983,
1,1,1,1,
0.997,0.997,0.997,0.997,
0.963,0.963,0.963,0.963,
0.937,0.937,0.937,0.937,
0.978,0.978,0.978,0.978,
1,1,1,1,
0.978,0.978,0.978,0.978,
0.967,0.967,0.967,0.967,
1,1,1,1,
0.974,0.974,0.974,0.974,
0.95,0.95,0.95,0.95,
0.985,0.985,0.985,0.985,
0.986,0.986,0.986,0.986,
0.982,0.982,0.982,0.982,
1,1,1,1,
1,1,1,1,
0.974,0.974,0.974,0.974,
1,1,1,1,
1,1,1,1,
0.951,0.951,0.951,0.951,
0.979,0.979,0.979,0.979,
0.98,0.98,0.98,0.98,
0.995,0.995,0.995,0.995,
1,1,1,1,
0.96,0.96,0.96,0.96,
0.982,0.982,0.982,0.982,
0.999,0.999,0.999,0.999,
0.981,0.981,0.981,0.981,
0.993,0.993,0.993,0.993,
0.999,0.999,0.999,0.999,
0.978,0.978,0.978,0.978,
0.999,0.999,0.999,0.999,
0.943,0.943,0.943,0.943,
0.998,0.998,0.998,0.998,
0.978,0.978,0.978,0.978,
1,1,1,1,
0.981,0.981,0.981,0.981,
0.991,0.991,0.991,0.991,
0.967,0.967,0.967,0.967,
0.997,0.997,0.997,0.997,
0.975,0.975,0.975,0.975,
1,1,1,1,
1,1,1,1,
0.995,0.995,0.995,0.995,
0.98,0.98,0.98,0.98,
0.958,0.958,0.958,0.958,
0.9,0.9,0.9,0.9,
0.971,0.971,0.971,0.971,
0.943,0.943,0.943,0.943,
0.978,0.978,0.978,0.978,
0.964,0.964,0.964,0.964,
1,1,1,1,
0.976,0.976,0.976,0.976,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.989,0.989,0.989,0.989,
0.994,0.994,0.994,0.994,
1,1,1,1,
0.984,0.984,0.984,0.984,
0.997,0.997,0.997,0.997,
0.975,0.975,0.975,0.975,
0.952,0.952,0.952,0.952,
0.988,0.988,0.988,0.988,
1,1,1,1,
1,1,1,1,
0.95,0.95,0.95,0.95,
1,1,1,1,
0.958,0.958,0.958,0.958,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.971,0.971,0.971,0.971,
0.981,0.981,0.981,0.981,
1,1,1,1,
1,1,1,1,
0.968,0.968,0.968,0.968,
1,1,1,1,
0.953,0.953,0.953,0.953,
1,1,1,1,


0.928,0.928,0.928,0.928,
0.967,0.967,0.967,0.967,
0.936,0.936,0.936,0.936,
1,1,1,1,
0.954,0.954,0.954,0.954,
0.994,0.994,0.994,0.994,
1,1,1,1,
0.984,0.984,0.984,0.984,
0.993,0.993,0.993,0.993,
0.941,0.941,0.941,0.941,
0.991,0.991,0.991,0.991,
0.966,0.966,0.966,0.966,
0.955,0.955,0.955,0.955,
1,1,1,1,
0.969,0.969,0.969,0.969,
1,1,1,1,
0.879,0.879,0.879,0.879,
0.953,0.953,0.953,0.953,
0.954,0.954,0.954,0.954,
0.899,0.899,0.899,0.899,
0.974,0.974,0.974,0.974,
0.974,0.974,0.974,0.974,
0.957,0.957,0.957,0.957,
0.927,0.927,0.927,0.927,
0.994,0.994,0.994,0.994,
0.979,0.979,0.979,0.979,
0.972,0.972,0.972,0.972,
0.952,0.952,0.952,0.952,
0.985,0.985,0.985,0.985,
0.982,0.982,0.982,0.982,
0.946,0.946,0.946,0.946,
0.98,0.98,0.98,0.98,
0.979,0.979,0.979,0.979,
1,1,1,1,
0.962,0.962,0.962,0.962,
0.977,0.977,0.977,0.977,
0.962,0.962,0.962,0.962,
0.974,0.974,0.974,0.974,
0.946,0.946,0.946,0.946,
0.925,0.925,0.925,0.925,
0.961,0.961,0.961,0.961,
0.977,0.977,0.977,0.977,
0.988,0.988,0.988,0.988,
0.953,0.953,0.953,0.953,
0.943,0.943,0.943,0.943,
0.983,0.983,0.983,0.983,
0.956,0.956,0.956,0.956,
1,1,1,1,
0.982,0.982,0.982,0.982,
0.943,0.943,0.943,0.943,
0.991,0.991,0.991,0.991,
0.967,0.967,0.967,0.967,
0.946,0.946,0.946,0.946,
1,1,1,1,
0.981,0.981,0.981,0.981,
0.983,0.983,0.983,0.983,
0.977,0.977,0.977,0.977,
0.966,0.966,0.966,0.966,
0.948,0.948,0.948,0.948,
0.986,0.986,0.986,0.986,
0.955,0.955,0.955,0.955,
0.986,0.986,0.986,0.986,
0.997,0.997,0.997,0.997,
1,1,1,1,
0.985,0.985,0.985,0.985,
0.973,0.973,0.973,0.973,
0.88,0.88,0.88,0.88,
0.97,0.97,0.97,0.97,
0.915,0.915,0.915,0.915,
0.952,0.952,0.952,0.952,
0.973,0.973,0.973,0.973,
0.978,0.978,0.978,0.978,
1,1,1,1,
0.98,0.98,0.98,0.98,
0.972,0.972,0.972,0.972,
0.975,0.975,0.975,0.975,
0.97,0.97,0.97,0.97,
1,1,1,1,
0.987,0.987,0.987,0.987,
1,1,1,1,
0.962,0.962,0.962,0.962,
0.978,0.978,0.978,0.978,
0.986,0.986,0.986,0.986,
1,1,1,1,
