

Data analysis for each instance 
AVG,MED,MAX,MIN
0.913,0.913,0.913,0.913,
0.957,0.957,0.957,0.957,
0.971,0.971,0.971,0.971,
0.976,0.976,0.976,0.976,
0.955,0.955,0.955,0.955,
0.922,0.922,0.922,0.922,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.958,0.958,0.958,0.958,
0.952,0.952,0.952,0.952,
1,1,1,1,
0.957,0.957,0.957,0.957,
0.983,0.983,0.983,0.983,
0.951,0.951,0.951,0.951,
0.963,0.963,0.963,0.963,
0.938,0.938,0.938,0.938,
0.935,0.935,0.935,0.935,
0.957,0.957,0.957,0.957,
0.973,0.973,0.973,0.973,
0.941,0.941,0.941,0.941,
0.897,0.897,0.897,0.897,
0.921,0.921,0.921,0.921,
0.9,0.9,0.9,0.9,
0.956,0.956,0.956,0.956,
0.97,0.97,0.97,0.97,
0.981,0.981,0.981,0.981,
0.941,0.941,0.941,0.941,
0.992,0.992,0.992,0.992,
0.945,0.945,0.945,0.945,
0.941,0.941,0.941,0.941,
1,1,1,1,
0.925,0.925,0.925,0.925,
0.939,0.939,0.939,0.939,
0.974,0.974,0.974,0.974,
0.924,0.924,0.924,0.924,
0.953,0.953,0.953,0.953,
0.948,0.948,0.948,0.948,
0.931,0.931,0.931,0.931,
0.926,0.926,0.926,0.926,
0.927,0.927,0.927,0.927,
0.944,0.944,0.944,0.944,
0.981,0.981,0.981,0.981,
0.959,0.959,0.959,0.959,
0.917,0.917,0.917,0.917,
0.959,0.959,0.959,0.959,
0.94,0.94,0.94,0.94,
0.918,0.918,0.918,0.918,
0.958,0.958,0.958,0.958,
0.931,0.931,0.931,0.931,
0.939,0.939,0.939,0.939,
0.984,0.984,0.984,0.984,
0.943,0.943,0.943,0.943,
1,1,1,1,
0.943,0.943,0.943,0.943,
0.918,0.918,0.918,0.918,
0.973,0.973,0.973,0.973,
0.949,0.949,0.949,0.949,
0.964,0.964,0.964,0.964,
0.954,0.954,0.954,0.954,
0.951,0.951,0.951,0.951,
0.974,0.974,0.974,0.974,
0.98,0.98,0.98,0.98,
0.949,0.949,0.949,0.949,
0.952,0.952,0.952,0.952,
0.906,0.906,0.906,0.906,
0.982,0.982,0.982,0.982,
0.939,0.939,0.939,0.939,
0.969,0.969,0.969,0.969,
0.913,0.913,0.913,0.913,
0.946,0.946,0.946,0.946,
1,1,1,1,
0.925,0.925,0.925,0.925,
0.948,0.948,0.948,0.948,
0.917,0.917,0.917,0.917,
0.919,0.919,0.919,0.919,
0.995,0.995,0.995,0.995,
0.951,0.951,0.951,0.951,
0.967,0.967,0.967,0.967,
0.972,0.972,0.972,0.972,
0.97,0.97,0.97,0.97,
0.954,0.954,0.954,0.954,
0.927,0.927,0.927,0.927,
0.91,0.91,0.91,0.91,
0.933,0.933,0.933,0.933,
0.954,0.954,0.954,0.954,
0.948,0.948,0.948,0.948,
0.904,0.904,0.904,0.904,
0.897,0.897,0.897,0.897,
0.956,0.956,0.956,0.956,
0.918,0.918,0.918,0.918,
0.963,0.963,0.963,0.963,
0.948,0.948,0.948,0.948,
0.904,0.904,0.904,0.904,
0.951,0.951,0.951,0.951,
0.907,0.907,0.907,0.907,
0.909,0.909,0.909,0.909,
0.973,0.973,0.973,0.973,
0.932,0.932,0.932,0.932,
0.947,0.947,0.947,0.947,
0.945,0.945,0.945,0.945,


1,1,1,1,
0.98,0.98,0.98,0.98,
1,1,1,1,
0.993,0.993,0.993,0.993,
1,1,1,1,
0.953,0.953,0.953,0.953,
0.991,0.991,0.991,0.991,
0.983,0.983,0.983,0.983,
1,1,1,1,
0.985,0.985,0.985,0.985,
0.983,0.983,0.983,0.983,
1,1,1,1,
0.984,0.984,0.984,0.984,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.955,0.955,0.955,0.955,
0.913,0.913,0.913,0.913,
0.979,0.979,0.979,0.979,
0.921,0.921,0.921,0.921,
1,1,1,1,
0.948,0.948,0.948,0.948,
0.953,0.953,0.953,0.953,
0.944,0.944,0.944,0.944,
0.998,0.998,0.998,0.998,
1,1,1,1,
0.995,0.995,0.995,0.995,
1,1,1,1,
0.985,0.985,0.985,0.985,
1,1,1,1,
1,1,1,1,
0.993,0.993,0.993,0.993,
0.957,0.957,0.957,0.957,
1,1,1,1,
0.967,0.967,0.967,0.967,
0.992,0.992,0.992,0.992,
0.951,0.951,0.951,0.951,
0.967,0.967,0.967,0.967,
1,1,1,1,
1,1,1,1,
0.96,0.96,0.96,0.96,
0.987,0.987,0.987,0.987,
0.997,0.997,0.997,0.997,
1,1,1,1,
1,1,1,1,
0.991,0.991,0.991,0.991,
0.942,0.942,0.942,0.942,
0.971,0.971,0.971,0.971,
0.938,0.938,0.938,0.938,
0.968,0.968,0.968,0.968,
0.945,0.945,0.945,0.945,
0.998,0.998,0.998,0.998,
0.947,0.947,0.947,0.947,
0.99,0.99,0.99,0.99,
0.968,0.968,0.968,0.968,
0.998,0.998,0.998,0.998,
0.995,0.995,0.995,0.995,
0.932,0.932,0.932,0.932,
0.995,0.995,0.995,0.995,
0.989,0.989,0.989,0.989,
0.958,0.958,0.958,0.958,
1,1,1,1,
0.989,0.989,0.989,0.989,
1,1,1,1,
0.976,0.976,0.976,0.976,
0.918,0.918,0.918,0.918,
0.955,0.955,0.955,0.955,
0.941,0.941,0.941,0.941,
1,1,1,1,
0.936,0.936,0.936,0.936,
1,1,1,1,
0.986,0.986,0.986,0.986,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.997,0.997,0.997,0.997,
0.978,0.978,0.978,0.978,
0.982,0.982,0.982,0.982,
0.994,0.994,0.994,0.994,
0.968,0.968,0.968,0.968,
0.989,0.989,0.989,0.989,
0.962,0.962,0.962,0.962,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.906,0.906,0.906,0.906,
0.966,0.966,0.966,0.966,
0.99,0.99,0.99,0.99,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.963,0.963,0.963,0.963,
1,1,1,1,
0.959,0.959,0.959,0.959,
1,1,1,1,
0.996,0.996,0.996,0.996,
0.965,0.965,0.965,0.965,
1,1,1,1,
0.97,0.97,0.97,0.97,
0.992,0.992,0.992,0.992,
1,1,1,1,
0.979,0.979,0.979,0.979,
0.999,0.999,0.999,0.999,


0.875,0.875,0.875,0.875,
0.978,0.978,0.978,0.978,
0.968,0.968,0.968,0.968,
0.99,0.99,0.99,0.99,
0.938,0.938,0.938,0.938,
0.979,0.979,0.979,0.979,
0.94,0.94,0.94,0.94,
0.948,0.948,0.948,0.948,
0.993,0.993,0.993,0.993,
1,1,1,1,
0.999,0.999,0.999,0.999,
0.973,0.973,0.973,0.973,
1,1,1,1,
0.984,0.984,0.984,0.984,
0.957,0.957,0.957,0.957,
0.98,0.98,0.98,0.98,
0.968,0.968,0.968,0.968,
1,1,1,1,
1,1,1,1,
0.954,0.954,0.954,0.954,
0.947,0.947,0.947,0.947,
0.946,0.946,0.946,0.946,
0.931,0.931,0.931,0.931,
1,1,1,1,
0.947,0.947,0.947,0.947,
0.991,0.991,0.991,0.991,
0.956,0.956,0.956,0.956,
0.974,0.974,0.974,0.974,
0.973,0.973,0.973,0.973,
0.929,0.929,0.929,0.929,
0.952,0.952,0.952,0.952,
0.97,0.97,0.97,0.97,
0.915,0.915,0.915,0.915,
0.978,0.978,0.978,0.978,
0.935,0.935,0.935,0.935,
0.994,0.994,0.994,0.994,
0.947,0.947,0.947,0.947,
0.97,0.97,0.97,0.97,
0.986,0.986,0.986,0.986,
0.94,0.94,0.94,0.94,
1,1,1,1,
1,1,1,1,
0.969,0.969,0.969,0.969,
0.923,0.923,0.923,0.923,
0.973,0.973,0.973,0.973,
0.92,0.92,0.92,0.92,
0.967,0.967,0.967,0.967,
0.952,0.952,0.952,0.952,
0.949,0.949,0.949,0.949,
0.961,0.961,0.961,0.961,
1,1,1,1,
0.98,0.98,0.98,0.98,
0.999,0.999,0.999,0.999,
0.955,0.955,0.955,0.955,
0.962,0.962,0.962,0.962,
0.968,0.968,0.968,0.968,
0.932,0.932,0.932,0.932,
0.966,0.966,0.966,0.966,
0.952,0.952,0.952,0.952,
0.924,0.924,0.924,0.924,
0.976,0.976,0.976,0.976,
0.977,0.977,0.977,0.977,
0.968,0.968,0.968,0.968,
1,1,1,1,
0.912,0.912,0.912,0.912,
0.991,0.991,0.991,0.991,
0.921,0.921,0.921,0.921,
0.988,0.988,0.988,0.988,
0.926,0.926,0.926,0.926,
0.942,0.942,0.942,0.942,
0.963,0.963,0.963,0.963,
0.908,0.908,0.908,0.908,
0.963,0.963,0.963,0.963,
0.95,0.95,0.95,0.95,
1,1,1,1,
0.936,0.936,0.936,0.936,
1,1,1,1,
0.975,0.975,0.975,0.975,
0.984,0.984,0.984,0.984,
0.985,0.985,0.985,0.985,
0.977,0.977,0.977,0.977,
0.921,0.921,0.921,0.921,
0.904,0.904,0.904,0.904,
0.956,0.956,0.956,0.956,
1,1,1,1,
0.962,0.962,0.962,0.962,
0.913,0.913,0.913,0.913,
0.929,0.929,0.929,0.929,
0.96,0.96,0.96,0.96,
0.934,0.934,0.934,0.934,
0.96,0.96,0.96,0.96,
0.966,0.966,0.966,0.966,
0.925,0.925,0.925,0.925,
0.959,0.959,0.959,0.959,
0.953,0.953,0.953,0.953,
0.945,0.945,0.945,0.945,
0.974,0.974,0.974,0.974,
0.962,0.962,0.962,0.962,
0.982,0.982,0.982,0.982,
0.958,0.958,0.958,0.958,


0.912,0.912,0.912,0.912,
0.982,0.982,0.982,0.982,
0.995,0.995,0.995,0.995,
0.973,0.973,0.973,0.973,
0.941,0.941,0.941,0.941,
0.995,0.995,0.995,0.995,
0.958,0.958,0.958,0.958,
0.962,0.962,0.962,0.962,
0.987,0.987,0.987,0.987,
0.995,0.995,0.995,0.995,
0.957,0.957,0.957,0.957,
0.959,0.959,0.959,0.959,
0.948,0.948,0.948,0.948,
0.979,0.979,0.979,0.979,
1,1,1,1,
0.963,0.963,0.963,0.963,
0.968,0.968,0.968,0.968,
0.97,0.97,0.97,0.97,
0.994,0.994,0.994,0.994,
0.969,0.969,0.969,0.969,
1,1,1,1,
1,1,1,1,
0.914,0.914,0.914,0.914,
0.928,0.928,0.928,0.928,
0.982,0.982,0.982,0.982,
0.986,0.986,0.986,0.986,
0.964,0.964,0.964,0.964,
0.977,0.977,0.977,0.977,
0.97,0.97,0.97,0.97,
0.927,0.927,0.927,0.927,
0.969,0.969,0.969,0.969,
0.983,0.983,0.983,0.983,
0.973,0.973,0.973,0.973,
0.991,0.991,0.991,0.991,
0.942,0.942,0.942,0.942,
0.992,0.992,0.992,0.992,
0.964,0.964,0.964,0.964,
0.971,0.971,0.971,0.971,
0.969,0.969,0.969,0.969,
0.988,0.988,0.988,0.988,
0.966,0.966,0.966,0.966,
0.955,0.955,0.955,0.955,
0.975,0.975,0.975,0.975,
0.937,0.937,0.937,0.937,
0.935,0.935,0.935,0.935,
1,1,1,1,
0.968,0.968,0.968,0.968,
0.953,0.953,0.953,0.953,
0.978,0.978,0.978,0.978,
0.95,0.95,0.95,0.95,
0.993,0.993,0.993,0.993,
0.951,0.951,0.951,0.951,
0.977,0.977,0.977,0.977,
0.966,0.966,0.966,0.966,
1,1,1,1,
0.953,0.953,0.953,0.953,
0.969,0.969,0.969,0.969,
0.996,0.996,0.996,0.996,
0.937,0.937,0.937,0.937,
0.952,0.952,0.952,0.952,
0.968,0.968,0.968,0.968,
1,1,1,1,
0.967,0.967,0.967,0.967,
0.979,0.979,0.979,0.979,
0.918,0.918,0.918,0.918,
0.995,0.995,0.995,0.995,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.949,0.949,0.949,0.949,
0.98,0.98,0.98,0.98,
0.978,0.978,0.978,0.978,
0.976,0.976,0.976,0.976,
0.974,0.974,0.974,0.974,
1,1,1,1,
0.963,0.963,0.963,0.963,
0.975,0.975,0.975,0.975,
0.998,0.998,0.998,0.998,
0.997,0.997,0.997,0.997,
0.937,0.937,0.937,0.937,
0.964,0.964,0.964,0.964,
0.984,0.984,0.984,0.984,
0.965,0.965,0.965,0.965,
0.904,0.904,0.904,0.904,
1,1,1,1,
0.99,0.99,0.99,0.99,
0.981,0.981,0.981,0.981,
0.908,0.908,0.908,0.908,
0.958,0.958,0.958,0.958,
0.956,0.956,0.956,0.956,
0.96,0.96,0.96,0.96,
0.977,0.977,0.977,0.977,
0.97,0.97,0.97,0.97,
0.955,0.955,0.955,0.955,
1,1,1,1,
0.948,0.948,0.948,0.948,
1,1,1,1,
0.974,0.974,0.974,0.974,
0.969,0.969,0.969,0.969,
0.971,0.971,0.971,0.971,
0.966,0.966,0.966,0.966,


0.902,0.902,0.902,0.902,
0.994,0.994,0.994,0.994,
0.993,0.993,0.993,0.993,
0.981,0.981,0.981,0.981,
0.931,0.931,0.931,0.931,
0.977,0.977,0.977,0.977,
0.987,0.987,0.987,0.987,
0.988,0.988,0.988,0.988,
0.996,0.996,0.996,0.996,
0.972,0.972,0.972,0.972,
0.994,0.994,0.994,0.994,
0.972,0.972,0.972,0.972,
0.97,0.97,0.97,0.97,
