

Data analysis for each instance 
AVG,MED,MAX,MIN
0.001,0.001,0.001,0.001,
-0.082,-0.082,-0.082,-0.082,
-0.056,-0.056,-0.056,-0.056,
0.022,0.022,0.022,0.022,
-0.043,-0.043,-0.043,-0.043,
0.073,0.073,0.073,0.073,
0.01,0.01,0.01,0.01,
0.075,0.075,0.075,0.075,
-0.046,-0.046,-0.046,-0.046,
0.061,0.061,0.061,0.061,
0.084,0.084,0.084,0.084,
0.104,0.104,0.104,0.104,
-0.056,-0.056,-0.056,-0.056,
-0.108,-0.108,-0.108,-0.108,
-0.003,-0.003,-0.003,-0.003,
-0.015,-0.015,-0.015,-0.015,
-0.123,-0.123,-0.123,-0.123,
0.092,0.092,0.092,0.092,
-0.023,-0.023,-0.023,-0.023,
-0.06,-0.06,-0.06,-0.06,
-0.104,-0.104,-0.104,-0.104,
0.007,0.007,0.007,0.007,
0.028,0.028,0.028,0.028,
0.039,0.039,0.039,0.039,
0.058,0.058,0.058,0.058,
-0.11,-0.11,-0.11,-0.11,
-0.049,-0.049,-0.049,-0.049,
-0.092,-0.092,-0.092,-0.092,
0.026,0.026,0.026,0.026,
0.029,0.029,0.029,0.029,
0.076,0.076,0.076,0.076,
-0.086,-0.086,-0.086,-0.086,
0.065,0.065,0.065,0.065,
-0.058,-0.058,-0.058,-0.058,
-0.028,-0.028,-0.028,-0.028,
0.004,0.004,0.004,0.004,
-0.025,-0.025,-0.025,-0.025,
-0.054,-0.054,-0.054,-0.054,
-0.078,-0.078,-0.078,-0.078,
0.049,0.049,0.049,0.049,
0.038,0.038,0.038,0.038,
-0.113,-0.113,-0.113,-0.113,
-0.001,-0.001,-0.001,-0.001,
-0.123,-0.123,-0.123,-0.123,
-0.03,-0.03,-0.03,-0.03,
0.031,0.031,0.031,0.031,
0.106,0.106,0.106,0.106,
-0.058,-0.058,-0.058,-0.058,
-0.123,-0.123,-0.123,-0.123,
