

Data analysis for each instance 
AVG,MED,MAX,MIN
0.073,0.073,0.073,0.073,
0.031,0.031,0.031,0.031,
0.056,0.056,0.056,0.056,
-0.027,-0.027,-0.027,-0.027,
0.013,0.013,0.013,0.013,
-0.001,-0.001,-0.001,-0.001,
-0.013,-0.013,-0.013,-0.013,
0.006,0.006,0.006,0.006,
0.012,0.012,0.012,0.012,
-0.024,-0.024,-0.024,-0.024,
-0.016,-0.016,-0.016,-0.016,
0.012,0.012,0.012,0.012,
0.055,0.055,0.055,0.055,
-0.05,-0.05,-0.05,-0.05,
0.006,0.006,0.006,0.006,
0,0,0,0,
0.121,0.121,0.121,0.121,
0.036,0.036,0.036,0.036,
-0.01,-0.01,-0.01,-0.01,
0.086,0.086,0.086,0.086,
0.044,0.044,0.044,0.044,
0.022,0.022,0.022,0.022,
0.033,0.033,0.033,0.033,
0,0,0,0,
0.006,0.006,0.006,0.006,
0.012,0.012,0.012,0.012,
-0.012,-0.012,-0.012,-0.012,
0.016,0.016,0.016,0.016,
0.015,0.015,0.015,0.015,
0.038,0.038,0.038,0.038,
0.003,0.003,0.003,0.003,
0.003,0.003,0.003,0.003,
0.014,0.014,0.014,0.014,
-0.003,-0.003,-0.003,-0.003,
0.015,0.015,0.015,0.015,
0.043,0.043,0.043,0.043,
-0.005,-0.005,-0.005,-0.005,
0.009,0.009,0.009,0.009,
0.045,0.045,0.045,0.045,
0.01,0.01,0.01,0.01,
0.031,0.031,0.031,0.031,
0.025,0.025,0.025,0.025,
0.027,0.027,0.027,0.027,
0.044,0.044,0.044,0.044,
0.046,0.046,0.046,0.046,
0.009,0.009,0.009,0.009,
0.04,0.04,0.04,0.04,
0.001,0.001,0.001,0.001,
0.012,0.012,0.012,0.012,
0.056,0.056,0.056,0.056,
-0.014,-0.014,-0.014,-0.014,
0.033,0.033,0.033,0.033,
-0.003,-0.003,-0.003,-0.003,
0.03,0.03,0.03,0.03,
0.006,0.006,0.006,0.006,
0.017,0.017,0.017,0.017,
0.003,0.003,0.003,0.003,
0.029,0.029,0.029,0.029,
0.024,0.024,0.024,0.024,
0.02,0.02,0.02,0.02,
0.02,0.02,0.02,0.02,
0.02,0.02,0.02,0.02,
-0.022,-0.022,-0.022,-0.022,
-0.004,-0.004,-0.004,-0.004,
0.002,0.002,0.002,0.002,
-0.015,-0.015,-0.015,-0.015,
0.022,0.022,0.022,0.022,
-0.014,-0.014,-0.014,-0.014,
0.03,0.03,0.03,0.03,
0.011,0.011,0.011,0.011,
0.003,0.003,0.003,0.003,
0.007,0.007,0.007,0.007,
-0.023,-0.023,-0.023,-0.023,
0.042,0.042,0.042,0.042,
0.028,0.028,0.028,0.028,
0.026,0.026,0.026,0.026,
0.03,0.03,0.03,0.03,
-0.01,-0.01,-0.01,-0.01,
0.026,0.026,0.026,0.026,
-0.017,-0.017,-0.017,-0.017,
0.028,0.028,0.028,0.028,
-0.008,-0.008,-0.008,-0.008,
-0.035,-0.035,-0.035,-0.035,
-0.012,-0.012,-0.012,-0.012,
0.046,0.046,0.046,0.046,
0.016,0.016,0.016,0.016,
0.058,0.058,0.058,0.058,
-0.02,-0.02,-0.02,-0.02,
0.019,0.019,0.019,0.019,
0.035,0.035,0.035,0.035,
0.024,0.024,0.024,0.024,
0.04,0.04,0.04,0.04,
0.013,0.013,0.013,0.013,
0.049,0.049,0.049,0.049,
0.071,0.071,0.071,0.071,
0.031,0.031,0.031,0.031,
0.015,0.015,0.015,0.015,
0.025,0.025,0.025,0.025,
-0.003,-0.003,-0.003,-0.003,
0.036,0.036,0.036,0.036,


-0.032,-0.032,-0.032,-0.032,
-0.013,-0.013,-0.013,-0.013,
-0.016,-0.016,-0.016,-0.016,
0.047,0.047,0.047,0.047,
0.026,0.026,0.026,0.026,
0.013,0.013,0.013,0.013,
0.01,0.01,0.01,0.01,
-0.011,-0.011,-0.011,-0.011,
0.035,0.035,0.035,0.035,
0.029,0.029,0.029,0.029,
0.007,0.007,0.007,0.007,
-0.034,-0.034,-0.034,-0.034,
-0.002,-0.002,-0.002,-0.002,
0.071,0.071,0.071,0.071,
-0.006,-0.006,-0.006,-0.006,
0.01,0.01,0.01,0.01,
0.017,0.017,0.017,0.017,
0.014,0.014,0.014,0.014,
-0.009,-0.009,-0.009,-0.009,
-0.039,-0.039,-0.039,-0.039,
0.011,0.011,0.011,0.011,
-0.019,-0.019,-0.019,-0.019,
-0.001,-0.001,-0.001,-0.001,
0.003,0.003,0.003,0.003,
-0.02,-0.02,-0.02,-0.02,
-0.004,-0.004,-0.004,-0.004,
-0.001,-0.001,-0.001,-0.001,
0.016,0.016,0.016,0.016,
0.004,0.004,0.004,0.004,
-0.044,-0.044,-0.044,-0.044,
-0.054,-0.054,-0.054,-0.054,
0.007,0.007,0.007,0.007,
-0.029,-0.029,-0.029,-0.029,
0.002,0.002,0.002,0.002,
0.006,0.006,0.006,0.006,
0.035,0.035,0.035,0.035,
0.013,0.013,0.013,0.013,
0.006,0.006,0.006,0.006,
0.013,0.013,0.013,0.013,
0.001,0.001,0.001,0.001,
-0.011,-0.011,-0.011,-0.011,
-0.004,-0.004,-0.004,-0.004,
-0.038,-0.038,-0.038,-0.038,
-0.016,-0.016,-0.016,-0.016,
-0.007,-0.007,-0.007,-0.007,
-0.022,-0.022,-0.022,-0.022,
-0.041,-0.041,-0.041,-0.041,
0.024,0.024,0.024,0.024,
0.001,0.001,0.001,0.001,
