

Data analysis for each instance 
AVG,MED,MAX,MIN
0.309,0.309,0.309,0.309,
0.325,0.325,0.325,0.325,
0.212,0.212,0.212,0.212,
0.415,0.415,0.415,0.415,
0.267,0.267,0.267,0.267,
0.332,0.332,0.332,0.332,
0.277,0.277,0.277,0.277,
0.338,0.338,0.338,0.338,
0.26,0.26,0.26,0.26,
0.442,0.442,0.442,0.442,
0.388,0.388,0.388,0.388,
0.372,0.372,0.372,0.372,
0.387,0.387,0.387,0.387,
0.499,0.499,0.499,0.499,
0.367,0.367,0.367,0.367,
0.337,0.337,0.337,0.337,
0.289,0.289,0.289,0.289,
0.359,0.359,0.359,0.359,
0.392,0.392,0.392,0.392,
0.466,0.466,0.466,0.466,
0.308,0.308,0.308,0.308,
0.463,0.463,0.463,0.463,
0.335,0.335,0.335,0.335,
0.427,0.427,0.427,0.427,
0.261,0.261,0.261,0.261,
0.384,0.384,0.384,0.384,
0.379,0.379,0.379,0.379,
0.463,0.463,0.463,0.463,
0.333,0.333,0.333,0.333,
0.5,0.5,0.5,0.5,
0.401,0.401,0.401,0.401,
0.298,0.298,0.298,0.298,
0.369,0.369,0.369,0.369,
0.318,0.318,0.318,0.318,
0.451,0.451,0.451,0.451,
0.34,0.34,0.34,0.34,
0.377,0.377,0.377,0.377,
0.398,0.398,0.398,0.398,
0.41,0.41,0.41,0.41,
0.368,0.368,0.368,0.368,
0.282,0.282,0.282,0.282,
0.312,0.312,0.312,0.312,
0.375,0.375,0.375,0.375,
0.391,0.391,0.391,0.391,
0.446,0.446,0.446,0.446,
0.394,0.394,0.394,0.394,
0.357,0.357,0.357,0.357,
0.359,0.359,0.359,0.359,
0.352,0.352,0.352,0.352,
0.478,0.478,0.478,0.478,
0.449,0.449,0.449,0.449,
0.333,0.333,0.333,0.333,
0.321,0.321,0.321,0.321,
0.405,0.405,0.405,0.405,
0.359,0.359,0.359,0.359,
0.359,0.359,0.359,0.359,
0.474,0.474,0.474,0.474,
0.334,0.334,0.334,0.334,
0.23,0.23,0.23,0.23,
0.339,0.339,0.339,0.339,
0.321,0.321,0.321,0.321,
0.415,0.415,0.415,0.415,
0.319,0.319,0.319,0.319,
0.351,0.351,0.351,0.351,
0.352,0.352,0.352,0.352,
0.328,0.328,0.328,0.328,
0.479,0.479,0.479,0.479,
0.259,0.259,0.259,0.259,
0.597,0.597,0.597,0.597,
0.42,0.42,0.42,0.42,
0.196,0.196,0.196,0.196,
0.431,0.431,0.431,0.431,
0.379,0.379,0.379,0.379,
0.388,0.388,0.388,0.388,
0.32,0.32,0.32,0.32,
0.294,0.294,0.294,0.294,
0.312,0.312,0.312,0.312,
0.469,0.469,0.469,0.469,
0.306,0.306,0.306,0.306,
0.287,0.287,0.287,0.287,
0.349,0.349,0.349,0.349,
0.484,0.484,0.484,0.484,
0.498,0.498,0.498,0.498,
0.251,0.251,0.251,0.251,
0.419,0.419,0.419,0.419,
0.351,0.351,0.351,0.351,
0.396,0.396,0.396,0.396,
0.351,0.351,0.351,0.351,
0.382,0.382,0.382,0.382,
0.306,0.306,0.306,0.306,
0.454,0.454,0.454,0.454,
0.356,0.356,0.356,0.356,
0.422,0.422,0.422,0.422,
0.363,0.363,0.363,0.363,
0.527,0.527,0.527,0.527,
0.482,0.482,0.482,0.482,
0.343,0.343,0.343,0.343,
0.392,0.392,0.392,0.392,
0.354,0.354,0.354,0.354,
0.333,0.333,0.333,0.333,
0.239,0.239,0.239,0.239,
0.296,0.296,0.296,0.296,
0.404,0.404,0.404,0.404,
0.379,0.379,0.379,0.379,
0.312,0.312,0.312,0.312,
0.431,0.431,0.431,0.431,
0.382,0.382,0.382,0.382,
0.359,0.359,0.359,0.359,
0.358,0.358,0.358,0.358,
0.326,0.326,0.326,0.326,
0.537,0.537,0.537,0.537,
0.421,0.421,0.421,0.421,
0.27,0.27,0.27,0.27,
0.337,0.337,0.337,0.337,
0.355,0.355,0.355,0.355,
0.26,0.26,0.26,0.26,
0.403,0.403,0.403,0.403,
0.471,0.471,0.471,0.471,
0.367,0.367,0.367,0.367,
0.436,0.436,0.436,0.436,
0.461,0.461,0.461,0.461,
0.388,0.388,0.388,0.388,
0.345,0.345,0.345,0.345,
0.437,0.437,0.437,0.437,
0.335,0.335,0.335,0.335,
0.36,0.36,0.36,0.36,
0.207,0.207,0.207,0.207,
0.361,0.361,0.361,0.361,
0.387,0.387,0.387,0.387,
0.274,0.274,0.274,0.274,
0.36,0.36,0.36,0.36,
0.418,0.418,0.418,0.418,
0.339,0.339,0.339,0.339,
0.391,0.391,0.391,0.391,
0.325,0.325,0.325,0.325,
0.324,0.324,0.324,0.324,
0.384,0.384,0.384,0.384,
0.301,0.301,0.301,0.301,
0.388,0.388,0.388,0.388,
0.398,0.398,0.398,0.398,
0.432,0.432,0.432,0.432,
0.384,0.384,0.384,0.384,
0.431,0.431,0.431,0.431,
0.466,0.466,0.466,0.466,
0.469,0.469,0.469,0.469,
0.34,0.34,0.34,0.34,
0.344,0.344,0.344,0.344,
0.375,0.375,0.375,0.375,
0.319,0.319,0.319,0.319,
0.454,0.454,0.454,0.454,
0.294,0.294,0.294,0.294,
0.383,0.383,0.383,0.383,
0.472,0.472,0.472,0.472,
0.379,0.379,0.379,0.379,
0.343,0.343,0.343,0.343,
0.464,0.464,0.464,0.464,
0.323,0.323,0.323,0.323,
0.403,0.403,0.403,0.403,
0.242,0.242,0.242,0.242,
0.395,0.395,0.395,0.395,
0.335,0.335,0.335,0.335,
0.442,0.442,0.442,0.442,
0.418,0.418,0.418,0.418,
0.241,0.241,0.241,0.241,
0.45,0.45,0.45,0.45,
0.388,0.388,0.388,0.388,
0.37,0.37,0.37,0.37,
0.308,0.308,0.308,0.308,
0.364,0.364,0.364,0.364,
0.362,0.362,0.362,0.362,
0.417,0.417,0.417,0.417,
0.395,0.395,0.395,0.395,
0.392,0.392,0.392,0.392,
0.4,0.4,0.4,0.4,
0.208,0.208,0.208,0.208,
0.355,0.355,0.355,0.355,
0.343,0.343,0.343,0.343,
0.334,0.334,0.334,0.334,
0.283,0.283,0.283,0.283,
0.388,0.388,0.388,0.388,
0.314,0.314,0.314,0.314,
0.327,0.327,0.327,0.327,
0.298,0.298,0.298,0.298,
0.399,0.399,0.399,0.399,
