

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.377,-0.377,-0.377,-0.377,
-0.317,-0.317,-0.317,-0.317,
-0.287,-0.287,-0.287,-0.287,
-0.235,-0.235,-0.235,-0.235,
-0.177,-0.177,-0.177,-0.177,
-0.162,-0.162,-0.162,-0.162,
-0.184,-0.184,-0.184,-0.184,
-0.346,-0.346,-0.346,-0.346,
-0.137,-0.137,-0.137,-0.137,
-0.262,-0.262,-0.262,-0.262,
-0.28,-0.28,-0.28,-0.28,
-0.327,-0.327,-0.327,-0.327,
-0.306,-0.306,-0.306,-0.306,
-0.294,-0.294,-0.294,-0.294,
-0.218,-0.218,-0.218,-0.218,
-0.362,-0.362,-0.362,-0.362,
-0.401,-0.401,-0.401,-0.401,
-0.107,-0.107,-0.107,-0.107,
-0.123,-0.123,-0.123,-0.123,
-0.313,-0.313,-0.313,-0.313,
-0.331,-0.331,-0.331,-0.331,
-0.268,-0.268,-0.268,-0.268,
-0.298,-0.298,-0.298,-0.298,
-0.231,-0.231,-0.231,-0.231,
-0.471,-0.471,-0.471,-0.471,
-0.255,-0.255,-0.255,-0.255,
-0.268,-0.268,-0.268,-0.268,
-0.209,-0.209,-0.209,-0.209,
-0.301,-0.301,-0.301,-0.301,
-0.21,-0.21,-0.21,-0.21,


0.308,0.308,0.308,0.308,
0.126,0.126,0.126,0.126,
0.276,0.276,0.276,0.276,
0.23,0.23,0.23,0.23,
0.255,0.255,0.255,0.255,
0.266,0.266,0.266,0.266,
0.243,0.243,0.243,0.243,
0.142,0.142,0.142,0.142,
-0.013,-0.013,-0.013,-0.013,
0.266,0.266,0.266,0.266,
0.235,0.235,0.235,0.235,
0.139,0.139,0.139,0.139,
0.232,0.232,0.232,0.232,
0.22,0.22,0.22,0.22,
0.269,0.269,0.269,0.269,
0.193,0.193,0.193,0.193,
0.283,0.283,0.283,0.283,
0.101,0.101,0.101,0.101,
0.263,0.263,0.263,0.263,
0.239,0.239,0.239,0.239,
0.286,0.286,0.286,0.286,
0.318,0.318,0.318,0.318,
0.3,0.3,0.3,0.3,
0.317,0.317,0.317,0.317,
0.144,0.144,0.144,0.144,
0.229,0.229,0.229,0.229,
0.329,0.329,0.329,0.329,
0.149,0.149,0.149,0.149,
0.141,0.141,0.141,0.141,
0.351,0.351,0.351,0.351,
0.209,0.209,0.209,0.209,
0.182,0.182,0.182,0.182,
0.08,0.08,0.08,0.08,
0.138,0.138,0.138,0.138,
0.297,0.297,0.297,0.297,
0.241,0.241,0.241,0.241,
0.271,0.271,0.271,0.271,
0.287,0.287,0.287,0.287,
0.228,0.228,0.228,0.228,
0.217,0.217,0.217,0.217,
0.197,0.197,0.197,0.197,
0.2,0.2,0.2,0.2,
0.197,0.197,0.197,0.197,
0.304,0.304,0.304,0.304,
0.286,0.286,0.286,0.286,
0.304,0.304,0.304,0.304,
0.288,0.288,0.288,0.288,
0.187,0.187,0.187,0.187,
0.222,0.222,0.222,0.222,
0.372,0.372,0.372,0.372,
0.207,0.207,0.207,0.207,
0.263,0.263,0.263,0.263,
0.224,0.224,0.224,0.224,
0.387,0.387,0.387,0.387,
0.274,0.274,0.274,0.274,
0.187,0.187,0.187,0.187,
0.302,0.302,0.302,0.302,
0.235,0.235,0.235,0.235,
0.222,0.222,0.222,0.222,
0.192,0.192,0.192,0.192,
0.133,0.133,0.133,0.133,
0.188,0.188,0.188,0.188,
0.11,0.11,0.11,0.11,
0.177,0.177,0.177,0.177,
0.26,0.26,0.26,0.26,
0.183,0.183,0.183,0.183,
0.354,0.354,0.354,0.354,
0.103,0.103,0.103,0.103,
0.101,0.101,0.101,0.101,
0.196,0.196,0.196,0.196,
0.207,0.207,0.207,0.207,
0.275,0.275,0.275,0.275,
0.278,0.278,0.278,0.278,
0.182,0.182,0.182,0.182,
0.275,0.275,0.275,0.275,
0.288,0.288,0.288,0.288,
0.075,0.075,0.075,0.075,
0.316,0.316,0.316,0.316,
0.161,0.161,0.161,0.161,
0.197,0.197,0.197,0.197,
0.262,0.262,0.262,0.262,
0.296,0.296,0.296,0.296,
0.089,0.089,0.089,0.089,
0.137,0.137,0.137,0.137,
0.117,0.117,0.117,0.117,
0.251,0.251,0.251,0.251,
0.234,0.234,0.234,0.234,
0.188,0.188,0.188,0.188,
0.277,0.277,0.277,0.277,
0.262,0.262,0.262,0.262,
0.277,0.277,0.277,0.277,
0.049,0.049,0.049,0.049,
0.254,0.254,0.254,0.254,
0.232,0.232,0.232,0.232,
0.471,0.471,0.471,0.471,
0.206,0.206,0.206,0.206,
0.218,0.218,0.218,0.218,
0.224,0.224,0.224,0.224,
0.226,0.226,0.226,0.226,
0.215,0.215,0.215,0.215,


0.035,0.035,0.035,0.035,
0.186,0.186,0.186,0.186,
-0.161,-0.161,-0.161,-0.161,
0.086,0.086,0.086,0.086,
-0.083,-0.083,-0.083,-0.083,
-0.023,-0.023,-0.023,-0.023,
0.065,0.065,0.065,0.065,
0.112,0.112,0.112,0.112,
0.201,0.201,0.201,0.201,
0.011,0.011,0.011,0.011,
0.006,0.006,0.006,0.006,
0.091,0.091,0.091,0.091,
0.084,0.084,0.084,0.084,
0.091,0.091,0.091,0.091,
-0.06,-0.06,-0.06,-0.06,
0.071,0.071,0.071,0.071,
0.166,0.166,0.166,0.166,
0.227,0.227,0.227,0.227,
0.045,0.045,0.045,0.045,
0.157,0.157,0.157,0.157,
-0.135,-0.135,-0.135,-0.135,
0.093,0.093,0.093,0.093,
-0.075,-0.075,-0.075,-0.075,
0.063,0.063,0.063,0.063,
0.007,0.007,0.007,0.007,
0.012,0.012,0.012,0.012,
-0.062,-0.062,-0.062,-0.062,
0.098,0.098,0.098,0.098,
0.103,0.103,0.103,0.103,
0.018,0.018,0.018,0.018,
0.184,0.184,0.184,0.184,
0.106,0.106,0.106,0.106,
0.162,0.162,0.162,0.162,
0.096,0.096,0.096,0.096,
0.118,0.118,0.118,0.118,
-0.004,-0.004,-0.004,-0.004,
0.013,0.013,0.013,0.013,
-0.069,-0.069,-0.069,-0.069,
0.059,0.059,0.059,0.059,
0.103,0.103,0.103,0.103,
-0.04,-0.04,-0.04,-0.04,
-0.039,-0.039,-0.039,-0.039,
0.064,0.064,0.064,0.064,
-0.134,-0.134,-0.134,-0.134,
0.161,0.161,0.161,0.161,
0.044,0.044,0.044,0.044,
-0.05,-0.05,-0.05,-0.05,
0.069,0.069,0.069,0.069,
0.071,0.071,0.071,0.071,
0.036,0.036,0.036,0.036,
0.127,0.127,0.127,0.127,
-0.044,-0.044,-0.044,-0.044,
-0.026,-0.026,-0.026,-0.026,
-0.033,-0.033,-0.033,-0.033,
0.077,0.077,0.077,0.077,
-0.02,-0.02,-0.02,-0.02,
0.088,0.088,0.088,0.088,
-0.078,-0.078,-0.078,-0.078,
0.086,0.086,0.086,0.086,
0.07,0.07,0.07,0.07,
0.122,0.122,0.122,0.122,
0.138,0.138,0.138,0.138,
0.104,0.104,0.104,0.104,
0.12,0.12,0.12,0.12,
0.038,0.038,0.038,0.038,
-0.098,-0.098,-0.098,-0.098,
0.09,0.09,0.09,0.09,
0.167,0.167,0.167,0.167,
0.417,0.417,0.417,0.417,
-0.034,-0.034,-0.034,-0.034,
0.154,0.154,0.154,0.154,
0.058,0.058,0.058,0.058,
0.064,0.064,0.064,0.064,
0.065,0.065,0.065,0.065,
-0.119,-0.119,-0.119,-0.119,
-0.153,-0.153,-0.153,-0.153,
0.124,0.124,0.124,0.124,
-0.05,-0.05,-0.05,-0.05,
-0.025,-0.025,-0.025,-0.025,
0.081,0.081,0.081,0.081,
0.016,0.016,0.016,0.016,
0.043,0.043,0.043,0.043,
0.239,0.239,0.239,0.239,
0.182,0.182,0.182,0.182,
0.151,0.151,0.151,0.151,
0.148,0.148,0.148,0.148,
0.218,0.218,0.218,0.218,
0.086,0.086,0.086,0.086,
-0.176,-0.176,-0.176,-0.176,
0.02,0.02,0.02,0.02,
0.039,0.039,0.039,0.039,
0.229,0.229,0.229,0.229,
0.059,0.059,0.059,0.059,
-0.001,-0.001,-0.001,-0.001,
0,0,0,0,
0.062,0.062,0.062,0.062,
0.044,0.044,0.044,0.044,
0.018,0.018,0.018,0.018,
0.113,0.113,0.113,0.113,
-0.007,-0.007,-0.007,-0.007,


-0.124,-0.137,-0.024,-0.184,
-0.019,-0.01,0.017,-0.075,
0.121,0.115,0.174,0.115,
-0.006,-0.021,0.034,-0.051,
0.104,0.103,0.143,0.054,
0.024,0.016,0.092,0.016,
-0.006,0.011,0.049,-0.089,
0.045,0.043,0.073,-0.004,
0.01,-0.007,0.064,-0.048,
-0.091,-0.096,-0.018,-0.149,
-0.027,-0.026,0.069,-0.15,
-0.039,-0.044,0.036,-0.097,
-0.014,-0.021,0.039,-0.045,
-0.222,-0.227,-0.139,-0.302,
0.041,0.052,0.1,-0.103,
0.025,0.034,0.1,-0.072,
-0.142,-0.098,-0.083,-0.305,
-0.128,-0.135,-0.055,-0.183,
0.074,0.078,0.103,0.017,
-0.139,-0.165,-0.061,-0.203,
0.133,0.133,0.198,0.115,
-0.143,-0.137,-0.069,-0.242,
-0.085,-0.072,0.112,-0.187,
-0.166,-0.164,-0.164,-0.183,
0.062,0.051,0.109,0.012,
0.051,0.047,0.115,0.016,
-0.014,-0.015,0.112,-0.125,
-0.037,-0.003,0.067,-0.199,
0.002,0.009,0.073,-0.098,
-0.085,-0.075,-0.02,-0.233,
-0.363,-0.411,-0.2,-0.425,
-0.104,-0.099,-0.043,-0.181,
-0.053,-0.07,0.125,-0.192,
-0.053,-0.054,-0.004,-0.093,
-0.207,-0.206,-0.164,-0.256,
0.021,0.028,0.056,-0.047,
-0.071,-0.075,-0.014,-0.156,
0.047,0.056,0.093,-0.004,
-0.01,-0.002,0.075,-0.128,
-0.067,-0.064,-0.01,-0.154,
0.068,0.07,0.149,-0.043,
0.043,0.037,0.078,0.014,
-0.044,-0.059,0.028,-0.061,
-0.058,-0.097,0.124,-0.197,
-0.167,-0.127,-0.127,-0.41,
-0.108,-0.114,-0.061,-0.164,
0.065,0.093,0.102,-0.06,
0.079,0.074,0.096,0.053,
0.026,0.022,0.062,0.022,
-0.141,-0.147,-0.021,-0.227,
-0.151,-0.162,-0.053,-0.25,
0.126,0.129,0.152,0.09,
0.059,0.068,0.113,-0.021,
-0.108,-0.1,-0.082,-0.198,
0.003,0.013,0.015,-0.041,
0.041,0.034,0.054,0.019,
-0.277,-0.294,-0.2,-0.321,
-0.017,-0.02,0.193,-0.19,
-0.216,-0.236,-0.11,-0.239,
-0.043,-0.051,0.036,-0.106,
0.035,0.034,0.066,0.003,
-0.021,0.01,0.01,-0.155,
0.058,0.089,0.123,-0.046,
-0.033,-0.018,0.037,-0.11,
-0.034,-0.029,0.027,-0.104,
0.153,0.164,0.164,0.122,
-0.243,-0.201,-0.118,-0.429,
-0.051,-0.058,0.048,-0.135,
-0.312,-0.3,-0.285,-0.433,
0.066,0.073,0.081,0.031,
-0.1,-0.089,-0.021,-0.192,
-0.171,-0.23,-0.057,-0.23,
-0.057,-0.061,0.03,-0.125,
0.034,0.042,0.093,-0.016,
0.016,0.012,0.156,-0.091,
0.121,0.122,0.159,0.054,
0.123,0.136,0.179,0.001,
0.044,0.039,0.097,0.006,
0.099,0.108,0.119,0.054,
0.013,0.033,0.046,-0.044,
-0.011,-0.008,0.025,-0.055,
-0.18,-0.197,0.055,-0.274,
-0.152,-0.166,-0.021,-0.166,
-0.053,-0.048,0.033,-0.132,
-0.147,-0.153,-0.09,-0.153,
0.011,0.013,0.049,-0.07,
-0.2,-0.218,-0.117,-0.218,
-0.113,-0.114,-0.083,-0.167,
0.161,0.194,0.26,-0.034,
-0.144,-0.149,-0.094,-0.149,
-0.1,-0.083,-0.01,-0.307,
-0.066,-0.065,0.001,-0.142,
-0.021,-0.026,0.043,-0.055,
-0.016,-0.013,0.049,-0.104,
-0.316,-0.317,-0.228,-0.419,
-0.07,-0.1,0.16,-0.1,
-0.033,-0.031,0.046,-0.081,
0.092,0.109,0.109,-0.021,
-0.051,-0.061,-0.024,-0.061,
0.06,0.034,0.113,0.018,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.3,0.29,0.547,0.117,
MEDs,0.3,0.29,0.547,0.117,
MEDs,0.3,0.29,0.547,0.117,
MEDs,0.3,0.29,0.547,0.117,


