

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.055,-0.055,-0.055,-0.055,
0.066,0.066,0.066,0.066,
-0.047,-0.047,-0.047,-0.047,
0.01,0.01,0.01,0.01,
0.036,0.036,0.036,0.036,
0.065,0.065,0.065,0.065,
0.046,0.046,0.046,0.046,
-0.11,-0.11,-0.11,-0.11,
0.103,0.103,0.103,0.103,
-0.01,-0.01,-0.01,-0.01,
0.067,0.067,0.067,0.067,
-0.025,-0.025,-0.025,-0.025,
0.048,0.048,0.048,0.048,
0,0,0,0,
0.065,0.065,0.065,0.065,
-0.029,-0.029,-0.029,-0.029,
0.093,0.093,0.093,0.093,
0.073,0.073,0.073,0.073,
0.01,0.01,0.01,0.01,
-0.039,-0.039,-0.039,-0.039,
0.075,0.075,0.075,0.075,
0.052,0.052,0.052,0.052,
0.018,0.018,0.018,0.018,
0.022,0.022,0.022,0.022,
-0.036,-0.036,-0.036,-0.036,
0.012,0.012,0.012,0.012,
0.074,0.074,0.074,0.074,
0.018,0.018,0.018,0.018,
0.068,0.068,0.068,0.068,
0.061,0.061,0.061,0.061,
0,0,0,0,
0.075,0.075,0.075,0.075,
-0.023,-0.023,-0.023,-0.023,
0,0,0,0,
0.012,0.012,0.012,0.012,
0.022,0.022,0.022,0.022,
0.046,0.046,0.046,0.046,
0.035,0.035,0.035,0.035,
0.011,0.011,0.011,0.011,
0.041,0.041,0.041,0.041,
0.073,0.073,0.073,0.073,
0.063,0.063,0.063,0.063,
0.02,0.02,0.02,0.02,
0,0,0,0,
0.047,0.047,0.047,0.047,
0.026,0.026,0.026,0.026,
0.117,0.117,0.117,0.117,
0,0,0,0,
-0.07,-0.07,-0.07,-0.07,
0,0,0,0,
-0.001,-0.001,-0.001,-0.001,
0.034,0.034,0.034,0.034,
0.009,0.009,0.009,0.009,
0.178,0.178,0.178,0.178,
0.02,0.02,0.02,0.02,
-0.007,-0.007,-0.007,-0.007,
0,0,0,0,
0.055,0.055,0.055,0.055,
0.008,0.008,0.008,0.008,
-0.024,-0.024,-0.024,-0.024,
0.033,0.033,0.033,0.033,
0.086,0.086,0.086,0.086,
0.074,0.074,0.074,0.074,
0.063,0.063,0.063,0.063,
0.038,0.038,0.038,0.038,
0.019,0.019,0.019,0.019,
0.033,0.033,0.033,0.033,
-0.028,-0.028,-0.028,-0.028,
-0.101,-0.101,-0.101,-0.101,
0.015,0.015,0.015,0.015,
0.037,0.037,0.037,0.037,
0.035,0.035,0.035,0.035,
0.129,0.129,0.129,0.129,
-0.015,-0.015,-0.015,-0.015,
0.045,0.045,0.045,0.045,
0.028,0.028,0.028,0.028,
0.062,0.062,0.062,0.062,
-0.012,-0.012,-0.012,-0.012,
-0.083,-0.083,-0.083,-0.083,
-0.011,-0.011,-0.011,-0.011,
-0.047,-0.047,-0.047,-0.047,
0,0,0,0,
0.018,0.018,0.018,0.018,
0.012,0.012,0.012,0.012,
0.032,0.032,0.032,0.032,
-0.007,-0.007,-0.007,-0.007,
0.032,0.032,0.032,0.032,
0.034,0.034,0.034,0.034,
0.046,0.046,0.046,0.046,
0.014,0.014,0.014,0.014,
0.019,0.019,0.019,0.019,
-0.046,-0.046,-0.046,-0.046,
0.041,0.041,0.041,0.041,
-0.059,-0.059,-0.059,-0.059,
0.153,0.153,0.153,0.153,
-0.003,-0.003,-0.003,-0.003,
0.029,0.029,0.029,0.029,
0.048,0.048,0.048,0.048,
-0.005,-0.005,-0.005,-0.005,
0.041,0.041,0.041,0.041,


0.074,0.074,0.074,0.074,
-0.021,-0.021,-0.021,-0.021,
0.016,0.016,0.016,0.016,
-0.001,-0.001,-0.001,-0.001,
-0.086,-0.086,-0.086,-0.086,
-0.049,-0.049,-0.049,-0.049,
-0.019,-0.019,-0.019,-0.019,
0.102,0.102,0.102,0.102,
-0.09,-0.09,-0.09,-0.09,
-0.007,-0.007,-0.007,-0.007,
-0.044,-0.044,-0.044,-0.044,
0.061,0.061,0.061,0.061,
-0.088,-0.088,-0.088,-0.088,
0.064,0.064,0.064,0.064,
-0.008,-0.008,-0.008,-0.008,
0.011,0.011,0.011,0.011,
-0.027,-0.027,-0.027,-0.027,
-0.068,-0.068,-0.068,-0.068,
0.043,0.043,0.043,0.043,
0.075,0.075,0.075,0.075,
-0.02,-0.02,-0.02,-0.02,
-0.014,-0.014,-0.014,-0.014,
-0.04,-0.04,-0.04,-0.04,
-0.051,-0.051,-0.051,-0.051,
0.067,0.067,0.067,0.067,
0.02,0.02,0.02,0.02,
-0.062,-0.062,-0.062,-0.062,
-0.014,-0.014,-0.014,-0.014,
-0.068,-0.068,-0.068,-0.068,
-0.026,-0.026,-0.026,-0.026,
-0.041,-0.041,-0.041,-0.041,
-0.021,-0.021,-0.021,-0.021,
0.034,0.034,0.034,0.034,
0.005,0.005,0.005,0.005,
0.032,0.032,0.032,0.032,
0.012,0.012,0.012,0.012,
-0.055,-0.055,-0.055,-0.055,
-0.036,-0.036,-0.036,-0.036,
-0.038,-0.038,-0.038,-0.038,
-0.008,-0.008,-0.008,-0.008,
0.043,0.043,0.043,0.043,
-0.006,-0.006,-0.006,-0.006,
0.026,0.026,0.026,0.026,
0.01,0.01,0.01,0.01,
0,0,0,0,
-0.003,-0.003,-0.003,-0.003,
0.009,0.009,0.009,0.009,
-0.085,-0.085,-0.085,-0.085,
0.072,0.072,0.072,0.072,
0.042,0.042,0.042,0.042,
0.012,0.012,0.012,0.012,
-0.035,-0.035,-0.035,-0.035,
0.054,0.054,0.054,0.054,
-0.122,-0.122,-0.122,-0.122,
0.005,0.005,0.005,0.005,
0.019,0.019,0.019,0.019,
0.025,0.025,0.025,0.025,
0.008,0.008,0.008,0.008,
-0.018,-0.018,-0.018,-0.018,
0.004,0.004,0.004,0.004,
-0.075,-0.075,-0.075,-0.075,
-0.029,-0.029,-0.029,-0.029,
-0.108,-0.108,-0.108,-0.108,
-0.048,-0.048,-0.048,-0.048,
-0.009,-0.009,-0.009,-0.009,
-0.026,-0.026,-0.026,-0.026,
-0.086,-0.086,-0.086,-0.086,
0.116,0.116,0.116,0.116,
0.052,0.052,0.052,0.052,
0.016,0.016,0.016,0.016,
0.02,0.02,0.02,0.02,
-0.162,-0.162,-0.162,-0.162,
-0.073,-0.073,-0.073,-0.073,
-0.005,-0.005,-0.005,-0.005,
-0.046,-0.046,-0.046,-0.046,
0.009,0.009,0.009,0.009,
-0.031,-0.031,-0.031,-0.031,
0.074,0.074,0.074,0.074,
-0.012,-0.012,-0.012,-0.012,
0.028,0.028,0.028,0.028,
0.049,0.049,0.049,0.049,
0,0,0,0,
0.053,0.053,0.053,0.053,
-0.031,-0.031,-0.031,-0.031,
-0.029,-0.029,-0.029,-0.029,
0.001,0.001,0.001,0.001,
0,0,0,0,
0.017,0.017,0.017,0.017,
0,0,0,0,
-0.028,-0.028,-0.028,-0.028,
-0.008,-0.008,-0.008,-0.008,
0.066,0.066,0.066,0.066,
-0.004,-0.004,-0.004,-0.004,
0.029,0.029,0.029,0.029,
0,0,0,0,
0.009,0.009,0.009,0.009,
0.032,0.032,0.032,0.032,
-0.007,-0.007,-0.007,-0.007,
-0.032,-0.032,-0.032,-0.032,
-0.06,-0.06,-0.06,-0.06,


0.045,0.045,0.045,0.045,
0.022,0.022,0.022,0.022,
0.024,0.024,0.024,0.024,
0.007,0.007,0.007,0.007,
0.116,0.116,0.116,0.116,
0.023,0.023,0.023,0.023,
0.007,0.007,0.007,0.007,
-0.026,-0.026,-0.026,-0.026,
0.101,0.101,0.101,0.101,
0,0,0,0,
0.01,0.01,0.01,0.01,
0,0,0,0,
0.094,0.094,0.094,0.094,
0,0,0,0,
0.006,0.006,0.006,0.006,
0.043,0.043,0.043,0.043,
0.017,0.017,0.017,0.017,
0.031,0.031,0.031,0.031,
-0.02,-0.02,-0.02,-0.02,
0.046,0.046,0.046,0.046,
0.072,0.072,0.072,0.072,
0,0,0,0,
-0.002,-0.002,-0.002,-0.002,
