

Data analysis for each instance 
AVG,MED,MAX,MIN
0.945,0.945,0.945,0.945,
1,1,1,1,
0.704,0.704,0.704,0.704,
0.99,0.99,0.99,0.99,
0.918,0.918,0.918,0.918,
1,1,1,1,
0.972,0.972,0.972,0.972,
0.891,0.891,0.891,0.891,
1,1,1,1,
0.982,0.982,0.982,0.982,
0.916,0.916,0.916,0.916,
0.976,0.976,0.976,0.976,
0.957,0.957,0.957,0.957,
0.771,0.771,0.771,0.771,
1,1,1,1,
0.945,0.945,0.945,0.945,
1,1,1,1,
1,1,1,1,
0.988,0.988,0.988,0.988,
0.917,0.917,0.917,0.917,
1,1,1,1,
0.912,0.912,0.912,0.912,
0.975,0.975,0.975,0.975,
0.822,0.822,0.822,0.822,
0.922,0.922,0.922,0.922,
0.954,0.954,0.954,0.954,
1,1,1,1,
1,1,1,1,
0.999,0.999,0.999,0.999,
0.871,0.871,0.871,0.871,
0.916,0.916,0.916,0.916,
1,1,1,1,
0.978,0.978,0.978,0.978,
0.755,0.755,0.755,0.755,
1,1,1,1,
1,1,1,1,
0.967,0.967,0.967,0.967,
0.931,0.931,0.931,0.931,
0.973,0.973,0.973,0.973,
0.94,0.94,0.94,0.94,
1,1,1,1,
1,1,1,1,
0.992,0.992,0.992,0.992,
0.879,0.879,0.879,0.879,
1,1,1,1,
0.979,0.979,0.979,0.979,
1,1,1,1,
0.915,0.915,0.915,0.915,
0.929,0.929,0.929,0.929,
1,1,1,1,
0.998,0.998,0.998,0.998,
0.996,0.996,0.996,0.996,
0.979,0.979,0.979,0.979,
1,1,1,1,
1,1,1,1,
0.969,0.969,0.969,0.969,
1,1,1,1,
1,1,1,1,
0.914,0.914,0.914,0.914,
0.976,0.976,0.976,0.976,
0.937,0.937,0.937,0.937,
1,1,1,1,
0.91,0.91,0.91,0.91,
0.937,0.937,0.937,0.937,
0.995,0.995,0.995,0.995,
0.978,0.978,0.978,0.978,
0.945,0.945,0.945,0.945,
0.971,0.971,0.971,0.971,
0.898,0.898,0.898,0.898,
