

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.086,-0.086,-0.086,-0.086,
-0.023,-0.023,-0.023,-0.023,
-0.068,-0.068,-0.068,-0.068,
-0.018,-0.018,-0.018,-0.018,
-0.045,-0.045,-0.045,-0.045,
-0.051,-0.051,-0.051,-0.051,
-0.028,-0.028,-0.028,-0.028,
-0.033,-0.033,-0.033,-0.033,
-0.044,-0.044,-0.044,-0.044,
-0.032,-0.032,-0.032,-0.032,
0.007,0.007,0.007,0.007,
-0.046,-0.046,-0.046,-0.046,
-0.004,-0.004,-0.004,-0.004,
-0.052,-0.052,-0.052,-0.052,
0.001,0.001,0.001,0.001,
0.001,0.001,0.001,0.001,
0.025,0.025,0.025,0.025,
-0.005,-0.005,-0.005,-0.005,
0.054,0.054,0.054,0.054,
-0.059,-0.059,-0.059,-0.059,
-0.004,-0.004,-0.004,-0.004,
-0.034,-0.034,-0.034,-0.034,
0.004,0.004,0.004,0.004,
-0.072,-0.072,-0.072,-0.072,
-0.016,-0.016,-0.016,-0.016,
-0.035,-0.035,-0.035,-0.035,
-0.024,-0.024,-0.024,-0.024,
-0.011,-0.011,-0.011,-0.011,
-0.055,-0.055,-0.055,-0.055,
-0.037,-0.037,-0.037,-0.037,
-0.018,-0.018,-0.018,-0.018,
-0.031,-0.031,-0.031,-0.031,
-0.072,-0.072,-0.072,-0.072,
-0.005,-0.005,-0.005,-0.005,
-0.059,-0.059,-0.059,-0.059,
0.003,0.003,0.003,0.003,
-0.034,-0.034,-0.034,-0.034,
-0.027,-0.027,-0.027,-0.027,
-0.073,-0.073,-0.073,-0.073,
-0.036,-0.036,-0.036,-0.036,
-0.044,-0.044,-0.044,-0.044,
-0.02,-0.02,-0.02,-0.02,
-0.04,-0.04,-0.04,-0.04,
-0.092,-0.092,-0.092,-0.092,
-0.035,-0.035,-0.035,-0.035,
0.009,0.009,0.009,0.009,
-0.05,-0.05,-0.05,-0.05,
0.019,0.019,0.019,0.019,
-0.067,-0.067,-0.067,-0.067,
-0.006,-0.006,-0.006,-0.006,
-0.035,-0.035,-0.035,-0.035,
-0.003,-0.003,-0.003,-0.003,
0.011,0.011,0.011,0.011,
-0.028,-0.028,-0.028,-0.028,
-0.06,-0.06,-0.06,-0.06,
-0.02,-0.02,-0.02,-0.02,
0.018,0.018,0.018,0.018,
-0.044,-0.044,-0.044,-0.044,
-0.03,-0.03,-0.03,-0.03,
-0.009,-0.009,-0.009,-0.009,
-0.028,-0.028,-0.028,-0.028,
-0.013,-0.013,-0.013,-0.013,
-0.027,-0.027,-0.027,-0.027,
-0.026,-0.026,-0.026,-0.026,
-0.025,-0.025,-0.025,-0.025,
0.027,0.027,0.027,0.027,
-0.001,-0.001,-0.001,-0.001,
-0.023,-0.023,-0.023,-0.023,
-0.025,-0.025,-0.025,-0.025,
-0.045,-0.045,-0.045,-0.045,
-0.02,-0.02,-0.02,-0.02,
-0.041,-0.041,-0.041,-0.041,
-0.049,-0.049,-0.049,-0.049,
-0.055,-0.055,-0.055,-0.055,
-0.022,-0.022,-0.022,-0.022,
0.015,0.015,0.015,0.015,
-0.041,-0.041,-0.041,-0.041,
-0.001,-0.001,-0.001,-0.001,
-0.023,-0.023,-0.023,-0.023,
0.008,0.008,0.008,0.008,
-0.047,-0.047,-0.047,-0.047,
-0.071,-0.071,-0.071,-0.071,
0.004,0.004,0.004,0.004,
-0.049,-0.049,-0.049,-0.049,
-0.033,-0.033,-0.033,-0.033,
-0.027,-0.027,-0.027,-0.027,
-0.104,-0.104,-0.104,-0.104,
-0.061,-0.061,-0.061,-0.061,
-0.008,-0.008,-0.008,-0.008,
-0.077,-0.077,-0.077,-0.077,
0.001,0.001,0.001,0.001,
-0.027,-0.027,-0.027,-0.027,
-0.047,-0.047,-0.047,-0.047,
-0.016,-0.016,-0.016,-0.016,
-0.062,-0.062,-0.062,-0.062,
-0.081,-0.081,-0.081,-0.081,
-0.038,-0.038,-0.038,-0.038,
-0.064,-0.064,-0.064,-0.064,
-0.034,-0.034,-0.034,-0.034,
-0.019,-0.019,-0.019,-0.019,


0.125,0.125,0.125,0.125,
-0.007,-0.007,-0.007,-0.007,
0.071,0.071,0.071,0.071,
0.001,0.001,0.001,0.001,
0.061,0.061,0.061,0.061,
-0.009,-0.009,-0.009,-0.009,
0.075,0.075,0.075,0.075,
0.058,0.058,0.058,0.058,
-0.007,-0.007,-0.007,-0.007,
-0.015,-0.015,-0.015,-0.015,
0.004,0.004,0.004,0.004,
0.027,0.027,0.027,0.027,
