

Data analysis for each instance 
AVG,MED,MAX,MIN
0.914,0.914,0.914,0.914,
0.956,0.956,0.956,0.956,
0.96,0.96,0.96,0.96,
0.974,0.974,0.974,0.974,
0.955,0.955,0.955,0.955,
0.942,0.942,0.942,0.942,
0.996,0.996,0.996,0.996,
0.966,0.966,0.966,0.966,
0.947,0.947,0.947,0.947,
0.953,0.953,0.953,0.953,
0.997,0.997,0.997,0.997,
0.955,0.955,0.955,0.955,
0.986,0.986,0.986,0.986,
0.947,0.947,0.947,0.947,
0.957,0.957,0.957,0.957,
0.931,0.931,0.931,0.931,
0.935,0.935,0.935,0.935,
0.948,0.948,0.948,0.948,
0.973,0.973,0.973,0.973,
0.941,0.941,0.941,0.941,
0.926,0.926,0.926,0.926,
0.921,0.921,0.921,0.921,
0.9,0.9,0.9,0.9,
0.956,0.956,0.956,0.956,
0.975,0.975,0.975,0.975,
0.966,0.966,0.966,0.966,
0.979,0.979,0.979,0.979,
0.969,0.969,0.969,0.969,
0.945,0.945,0.945,0.945,
0.963,0.963,0.963,0.963,
0.996,0.996,0.996,0.996,
0.925,0.925,0.925,0.925,
0.899,0.899,0.899,0.899,
0.963,0.963,0.963,0.963,
0.939,0.939,0.939,0.939,
0.947,0.947,0.947,0.947,
0.948,0.948,0.948,0.948,
0.949,0.949,0.949,0.949,
0.927,0.927,0.927,0.927,
0.947,0.947,0.947,0.947,
0.957,0.957,0.957,0.957,
0.95,0.95,0.95,0.95,
0.961,0.961,0.961,0.961,
0.917,0.917,0.917,0.917,
0.954,0.954,0.954,0.954,
0.942,0.942,0.942,0.942,
0.927,0.927,0.927,0.927,
0.958,0.958,0.958,0.958,
0.958,0.958,0.958,0.958,
0.937,0.937,0.937,0.937,
0.988,0.988,0.988,0.988,
0.943,0.943,0.943,0.943,
0.991,0.991,0.991,0.991,
0.943,0.943,0.943,0.943,
0.905,0.905,0.905,0.905,
0.972,0.972,0.972,0.972,
0.95,0.95,0.95,0.95,
0.947,0.947,0.947,0.947,
0.959,0.959,0.959,0.959,
0.938,0.938,0.938,0.938,
0.991,0.991,0.991,0.991,
0.932,0.932,0.932,0.932,
0.951,0.951,0.951,0.951,
0.952,0.952,0.952,0.952,
0.909,0.909,0.909,0.909,
0.983,0.983,0.983,0.983,
0.94,0.94,0.94,0.94,
0.953,0.953,0.953,0.953,
0.913,0.913,0.913,0.913,
0.954,0.954,0.954,0.954,
1,1,1,1,
0.929,0.929,0.929,0.929,
0.983,0.983,0.983,0.983,
0.911,0.911,0.911,0.911,
0.921,0.921,0.921,0.921,
0.985,0.985,0.985,0.985,
0.975,0.975,0.975,0.975,
0.964,0.964,0.964,0.964,
0.954,0.954,0.954,0.954,
0.97,0.97,0.97,0.97,
0.954,0.954,0.954,0.954,
0.912,0.912,0.912,0.912,
0.91,0.91,0.91,0.91,
0.947,0.947,0.947,0.947,
0.97,0.97,0.97,0.97,
0.956,0.956,0.956,0.956,
0.904,0.904,0.904,0.904,
0.906,0.906,0.906,0.906,
0.956,0.956,0.956,0.956,
0.922,0.922,0.922,0.922,
0.961,0.961,0.961,0.961,
0.971,0.971,0.971,0.971,
0.956,0.956,0.956,0.956,
0.957,0.957,0.957,0.957,
0.938,0.938,0.938,0.938,
0.91,0.91,0.91,0.91,
0.971,0.971,0.971,0.971,
0.932,0.932,0.932,0.932,
0.946,0.946,0.946,0.946,
0.946,0.946,0.946,0.946,


1,1,1,1,
0.996,0.996,0.996,0.996,
1,1,1,1,
0.992,0.992,0.992,0.992,
1,1,1,1,
0.987,0.987,0.987,0.987,
0.99,0.99,0.99,0.99,
0.973,0.973,0.973,0.973,
0.996,0.996,0.996,0.996,
0.985,0.985,0.985,0.985,
0.969,0.969,0.969,0.969,
1,1,1,1,
0.992,0.992,0.992,0.992,
1,1,1,1,
0.964,0.964,0.964,0.964,
0.944,0.944,0.944,0.944,
0.913,0.913,0.913,0.913,
0.97,0.97,0.97,0.97,
0.92,0.92,0.92,0.92,
1,1,1,1,
0.948,0.948,0.948,0.948,
0.953,0.953,0.953,0.953,
0.944,0.944,0.944,0.944,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.98,0.98,0.98,0.98,
1,1,1,1,
1,1,1,1,
0.995,0.995,0.995,0.995,
0.965,0.965,0.965,0.965,
1,1,1,1,
0.974,0.974,0.974,0.974,
0.998,0.998,0.998,0.998,
0.951,0.951,0.951,0.951,
0.992,0.992,0.992,0.992,
0.998,0.998,0.998,0.998,
1,1,1,1,
0.992,0.992,0.992,0.992,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.977,0.977,0.977,0.977,
1,1,1,1,
0.986,0.986,0.986,0.986,
0.95,0.95,0.95,0.95,
0.97,0.97,0.97,0.97,
0.938,0.938,0.938,0.938,
