

Data analysis for each instance 
AVG,MED,MAX,MIN
0.993,0.992,1,0.985,
1,1,1,1,
0.977,0.977,0.977,0.977,
0.999,1,1,0.955,
0.932,0.932,0.932,0.932,
0.976,0.976,0.976,0.976,
0.906,0.906,0.906,0.906,
1,1,1,1,
1,1,1,1,
0.998,0.998,1,0.995,
1,1,1,0.996,
1,1,1,0.998,
1,1,1,0.996,
1,1,1,1,
1,1,1,1,
0.966,0.966,0.966,0.966,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.998,0.998,0.998,0.994,
1,1,1,0.97,
0.998,1,1,0.929,
1,1,1,1,
0.997,1,1,0.866,
0.994,0.994,0.994,0.994,
1,1,1,0.995,
1,1,1,0.998,
0.998,1,1,0.925,
1,1,1,0.985,
1,1,1,0.982,
1,1,1,1,
0.926,0.926,0.926,0.926,
1,1,1,0.972,
1,1,1,1,
0.999,1,1,0.94,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.992,0.992,0.992,0.992,
1,1,1,1,
1,1,1,1,
1,1,1,0.99,
1,1,1,0.995,
0.999,1,1,0.865,
0.989,0.989,1,0.989,
1,1,1,1,
1,1,1,0.97,
1,1,1,1,
0.999,1,1,0.882,
0.998,1,1,0.85,
0.964,0.964,0.994,0.964,
0.983,0.983,0.983,0.983,
0.993,1,1,0.88,
0.929,0.929,0.929,0.929,
0.941,0.916,1,0.916,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,0.974,
1,1,1,1,
1,1,1,1,
0.989,0.989,0.989,0.989,
1,1,1,1,
1,1,1,0.96,
0.97,0.97,0.97,0.97,
0.999,1,1,0.924,
1,1,1,0.979,
1,1,1,0.986,
0.994,0.994,1,0.988,
1,1,1,0.968,
1,1,1,1,
0.999,1,1,0.938,
1,1,1,1,
1,1,1,1,
1,1,1,0.971,
1,1,1,1,
0.927,0.927,0.927,0.927,
1,1,1,1,
1,1,1,0.966,
0.998,1,1,0.916,
0.985,0.985,0.985,0.985,
0.999,1,1,0.947,
0.968,0.968,0.968,0.968,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.999,1,1,0.93,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.998,1,1,0.91,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,0.996,
1,1,1,1,
1,1,1,1,
0.953,0.953,1,0.953,
1,1,1,0.991,
0.982,0.982,0.982,0.955,
1,1,1,0.991,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,0.994,
1,1,1,1,
0.994,0.995,0.995,0.971,
0.997,0.994,1,0.994,
0.985,0.985,0.985,0.985,
1,1,1,0.982,
0.999,1,1,0.954,
1,1,1,1,
0.943,0.942,1,0.942,
0.999,1,1,0.952,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.988,0.989,0.989,0.935,
0.98,0.98,0.98,0.98,
1,1,1,1,
1,1,1,1,
0.978,0.978,0.978,0.978,
0.979,0.979,0.979,0.979,
0.999,1,1,0.945,
0.944,0.944,0.944,0.944,
1,1,1,1,
0.985,0.985,1,0.97,
1,1,1,1,
0.999,1,1,0.937,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.999,1,1,0.965,
0.985,0.984,0.987,0.977,
1,1,1,1,
0.984,0.995,1,0.926,
0.997,1,1,0.828,
0.991,0.991,0.991,0.991,
0.999,1,1,0.963,
